CODIGO ,DESCRIPCION,SHELF LIFE
3000003,CORONA EXTRA BOTE H-C 24/355 ML CT,360
3000022,VICTORIA MEGA 12/1.2 L CT R LISA,360
3000050,PACIFICO LIGHT BOTE 8 PK H- C 24/355ML CT,365
3000060,BUDWEISER BOTE 6 PK 24/12 OZ,365
3000061,BUDWEISER 6 PACK 24/12 OZ CM,365
3000062,BUDWEISER LITRO 12/32 OZ,365
3000159,MONTEJO BOTE 6 PK H- C 24/355 ML CT,360
3000192,PACIFICO LIGHT BOTE12PKFRIDGE 24/35 5 ML CT,365
3000460,CORONA CLARA CSTLLA 6 PACK 24/355 ML CM,360
3000461,CORONA EXTRA CLARA 12 PK 12/355 ML CM,365
3000462,CORONA CLARA LOOSE PK 24/355 ML CM,360
3000468,CORONA CLARA CSTLLA 6 PK 24/210 ML CM,360
3000470,CORONITA CLARA LOOSE PK 24/210 ML CM,365
3000502,CORONITA EXTRA 12 PK 12/210 ML,360
3001269,CORONA DIV 12/940ML CM GRABADA,360
3001462,VICTORIA 12PK 12/355 ML CM,360
3001463,VICTORIA LOOSE PK 24/355 ML CM,360
3002998,VICTORIA MEGA 12/1.2 L CM LISA,365
3003348,MICHELOB ULTRA 12 PK 24/355ML CT,365
3003601,VICTORIA 12 PK 12/210ML CM,360
3003697,VICTORIA BOTE 4PK H-C 24/473 ML CT,360
3003911,CORONA BOTE 4PKH-C 24/473 ML CT,390
3004097,HOEG WHIT 24 0.330L BOX WRA INT,365
3004098,LEFFE BLON OW 24 0.330L BOX WRA INT N,365
3004103,FRAN HWH OW 20 0.5300L BOX W EUR,365
3004155,GOOSE ISLAND - VMATILDA 24/12 OZ,365
3004156,GOOSE ISLAND - SOFIE 24/12 OZ,365
3004267,QUILMES 24/340 ML,360
3005167,VICTORIA BOTE 6PK H-C 24/355ML CT,365
3005270,VICTORIA AMBAR PAPEL 24/210ML CM MAQ,365
3005271,CORONITA EXTRA CLARA24/210ML,365
3005273,MODELO ESP BOTELLA 12PK 12/355ML CM,365
